thai,phone
|||,|||
ก็,kX3
ก,kX1
ก.,kX1
ก็คือ,kX3 KW1
ก็จริง,kX3 ci1ŋ
ก็จริงอยู่,kX3 ci1ŋ jU2
ก็ช่าง,kX3 Ca3ŋ
ก็ได้,kX3 da3j
ก็ตาม,kX3 tA1m
ก็ตามใจ,kX3 tA1m ca1j
ก็ตามที,kX3 tA1m TI1
ก็พอ,kX3 PX1
ก็มี,kX3 mI1
ก็มีไม่เท่ากัน...ฉันนั้น,kX3 mI1 ma3j Ta3w ka1n Ca5n na4n
ก็ยิ่งดี,kX3 ji3ŋ dI1
ก็เลย,kX3 lZ1j
ก็แล้วกัน,kX3 lY4w ka1n
ก็ว่าได้,kX3 wA3 da3j
ก.ก.น.,kX1 kX1 nX1
ก.ค.,ka2 ra4 ka2 dA1 Ko1m
ก.ค.ศ.,kX1 KX1 sX5
ก.ต.ช.,kX1 tX1 CX1
ก.บช.,kX1 bX1 CX1
ก.พ.,kX1 PX1
ก.พ.ร.,kX1 PX1 rX1
ก.ม.ม.,kX1 mX1 mX1
ก.ย,ka1n jA1 jo1n
ก.ย.,ka1n jA1 jo1n
ก.ล.ต.,kX1 lX1 tX1
ก.ต.,kX1 TX1
ก.ป.ส.,kX1 pX1 sX5
ก.พ.ด.,kX1 PX1 dX1
ก.ม.,kX1 mX1
ก.ร.,kX1 rX1
ก.ว.,kX1 wX1
กก,ko2k
กกกอด,ko2k kX2t
กกไข่,ko2k Ka2j
กกหู,ko2k hU5
ก๊ก,ko4k
กก.,ki2ʔ lO1 kra1m
กกจ.,kX1 kX1 cX1
กกต.,kX1 kX1 tX1
กกร.,kX1 kX1 rX1
กกอ.,kX1 kX1 ʔX1
กกุท,ka2 ku2t
กกุธ,ka2 ku2t Ta4
กกุธภัณฑ์,ka2 ku2t Ta4 Pa1n
กข.,kX1 KX5
กขช.,kX1 KX5 CX1
กค.,kra2ʔ sV1ŋ kA1n Kla1ŋ
กคช.,kA1n KE1 ha2ʔ hɛ2ŋ CA3t
กคพ.,kX1 KX1 PX1
กง,ko1ŋ
กงเกวียนกำเกวียน,ko1ŋ kwJ1n ka1m kwJ1n
กงจักร,ko1ŋ ca2k
กงพัด,ko1ŋ Pa4t
กงล้อ,ko1ŋ lX4
ก่ง,ko2ŋ
ก๊ง,ko4ŋ
ก๊งเหล้า,ko4ŋ la3w
ก๋ง,ko5ŋ
กง.กห.,kro1m kA1n ŋə1n ka2 lA1 hO5m
ก่งก๊ง,ko2ŋ ko4ŋ
กงการ,ko1ŋ kA1n
กงโก้กงกก,ko1ŋ kO3 ko1ŋ ko2k
กงฉาก,ko1ŋ CA2k
กงเต็ก,ko1ŋ te2k
กงเต๊ก,ko1ŋ te4k
กงศุลฯ,ko1ŋ su5n
กงสี,ko1ŋ sI5
กงสุล,ko1ŋ su5n
กงสุลกิตติมศักดิ์,ko1ŋ su5n ki2t ti2ʔ ma4 sa2k
กงสุลฯ,ko1ŋ su5n
กจ.,kA1n ca2 na4 bu2ʔ rI1
กฎ,ko2t
กฎกติกา,ko2t ka2 ti2ʔ kA1
กฎเกณฑ์,ko2t kE1n
กฎข้อบังคับ,ko2t KX3 ba1ŋ Ka4p
กฎจราจร,ko2t ca2 rA1 cX1n
กฎธรรมชาติ,ko2t Ta1m ma4 CA3t
กฎบัตร,ko2t ba2t
กฎบัตรกฎหมาย,ko2t ba2t ko2t mA5j
กฎบัตรสหประชาชาติ,ko2t ba2t sa2 ha2 pra2ʔ CA1 CA3t
กฎบัตรอาเซียน,ko2t ba2t ʔA1 sJ1n
กฎมนเทียรบาล,ko2t mo1n TJ1n bA1n
กฎระเบียบ,ko2t ra4ʔ bJ2p
กฎแรงโน้มถ่วง,ko2t rY1ŋ nO4m TV2ŋ
กฎหมาย,ko2t mA5j
กฎหมายการบริหารราชการในสถานการณ์ฉุกเฉิน,ko2t mA5j kA1n bX1 ri4ʔ hA5n rA3t Ca4 kA1n na1j sa2 TA5n na4 kA1n Cu2k CZ5n
กฎหมายกำหนดเวลาสิ้นสุด,ko2t mA5j ka1m no2t wE1 lA1 si3n su2t
กฎหมายปิดปาก,ko2t mA5j pi2t pA2k
กฎหมายเพื่อความโปร่งใส,ko2t mA5j PR3 KwA1m prO2ŋ sa5j
กฎหมายแพ่ง,ko2t mA5j PY3ŋ
กฎหมายย้อนเบื้องหลัง,ko2t mA5j jX4n bR3ŋ la5ŋ
กฎหมายระหว่างประเทศ,ko2t mA5j ra4ʔ wA2ŋ pra2ʔ TE3t
กฎหมายระหว่างประเทศจารีตประเพณี,ko2t mA5j ra4ʔ wA2ŋ pra2ʔ TE3t cA1 rI3t pra2ʔ PE1 nI1
กฎหมายโรมัน,ko2t mA5j rO1 ma1n
กฎหมายอาญา,ko2t mA5j ʔA1 jA1
กฎหมู่,ko2t mU2
กฎแห่งกรรม,ko2t hɛ2ŋ ka1m
กฎนิคหกรรม,ko2t ni4k Ka4 ha2 ka1m
กฎอัยการศึก,ko2t ʔa1j ja4 kA1n sɯ2k
กฐิน,ka2 Ti5n
กณิกนันต์,ka2 ni4k na1n
กด,ko2t
กดกระดิ่ง,ko2t kra2ʔ di2ŋ
กดเก็บ,ko2t ke2p
กดขี่,ko2t KI2
กดขี่ขูดรีด,ko2t KI2 KU2t rI3t
กดขี่ขูดรีดแรงงาน,ko2t KI2 KU2t rI3t rY1ŋ ŋA1n
กดเงิน,ko2t ŋə1n
กดจุด,ko2t cu2t
กดชักโครก,ko2t Ca4k KrO3k
กดแชร์,ko2t CY1
กดดัน,ko2t da1n
กดโทรไปที่...,ko2t TO1 pa1j TI3
กดน้ำ,ko2t nA4m
กดปุ่ม,ko2t pu2m
กดราคา,ko2t rA1 KA1
กดไลก์,ko2t la1j
กดไลค์,ko2t la1j
กดหัว,ko2t hV5
กดออด,ko2t ʔX2t
กดเอาไว้,ko2t ʔa1w wa4j
กต.,kra2ʔ sV1ŋ kA1n tA2ŋ pra2ʔ TE3t
กตเวทิตา,ka2 ta2 wE1 Ti4ʔ tA1
กตเวที,ka2 ta2 wE1 TI1
กตัญญุ,ka2 ta1n ju4ʔ
กตัญญุตา,ka2 ta1n ju4ʔ tA1
กตัญญู,ka2 ta1n jU1
กตัญญูกตเวที,ka2 ta1n jU1 ka2 ta2 wE1 TI1
กตัญญูรู้คุณ,ka2 ta1n jU1 rU4 Ku1n
กตัญญูกตเวทิตา,ka2 ta1n jU3k ka2 ta2 wE1 Ti4ʔ tA1
กติกา,ka2 ti2ʔ kA1
กติกาการแข่ง,ka2 ti2ʔ kA1 kA1n Kɛ2ŋ
กติกาการแข่งขัน,ka2 ti2ʔ kA1 kA1n Kɛ2ŋ Ka5n
กติกาการเล่นวอลเล่ย์บอล,ka2 ti2ʔ kA1 kA1n le3n wX1n le3ʔ bX1n
กถา,ka2 TA5
กถามุข,ka2 TA5 mu4k
กถึก,ka2 Tɯ2k
กทช.,kX1 TX1 CX1
กทม.,kX1 TX1 mX1
กน,ko1n
ก่น,ko2n
ก่นโคตร,ko2n KO3t
ก่นด่า,ko2n dA2
ก่นสร้าง,ko2n sA3ŋ
ก้น,ko3n
ก้นกรอง,ko3n krX1ŋ
ก้นกระดก,ko3n kra2ʔ do2k
ก้นกุฏิ,ko3n ku2t ti2ʔ
ก้นขวด,ko3n KV2t
ก้นตะกรน,ko3n ta2ʔ kro1n
ก้นถุง,ko3n Tu5ŋ
