g,p,rtgs
กกกอด,kok2 kXt2,kokkot
กกช้าง,kok2 CAN4,kokchang
กกธูป,kok2 TUp3,kokthup
กกหู,kok2 hU-5,kokhu
กกุธภัณฑ์,ka-2 kut2 Ta-4 Pan1,kakutthaphan
กกเสา,kok2 saw5,koksao
กงกอน,koN1 kXn1,kongkon
กงการ,koN1 kAn1,kongkan
กงข้าง,koN1 kaN3,kongkang
กงค้าง,koN1 kAN4,kongkang
กงจักร,koN1 cak2,kongchak
กงฉาก,koN1 CAk2,kongchak
กงพัด,koN1 Pat4,kongphat
กงล้อ,koN1 lX-4,konglo
กงสี,koN1 sI-5,kongsi
กงสุล,koN1 sun5,kongsun
กงสุลใหญ่,koN1 sun5 jaj2,kongsunyai
กงเกวียน,koN1 kwJn1,kongkwian
กงเกวียนกำเกวียน,koN1 kwJn1 kam1 kwJn1,kongkwiankamkwian
กงเต็ก,koN1 tek2,kongtek
กงเต๊ก,koN1 tek4,kongtek
กงโก้,koN1 kO-3,kongko
กงไฉ่,koN1 Caj2,kongchai
กฎข้อบังคับ,kot2 KX-3 baN1 Kap4,kotkhobangkhap
กฎจราจร,kot2 ca-2 rA-1 cXn1,kotcharachon
กฎธรรมชาติ,kot2 Tam1 ma-4 CAt3,kotthammachat
กฎธรรมดา,kot2 Tam1 ma-1 dA-1,kotthammada
กฎบัตร,kot2 bat2,kotbat
กฎบัตรกฎหมาย,kot2 bat2 kot2 mAj5,kotbatkotmai
กฎบัตรสหประชาชาติ,kot2 bat2 sa-1 ha-2 pra-1 CA-1 CAt3,kotbatsahaprachachat
กฎมณเฑียรบาล,kot2 mon1 TJn1 bAn1,kotmonthianban
กฎมณเทียรบาล,kot2 mon1 TJn1 bAn1,kotmonthianban
กฎมนเทียรบาล,kot2 mon1 TJn1 bAn1,kotmonthianban
กฎระเบียบ,kot2 ra?4 bJp2,kotrabiap
กฎหมาย,kot2 mAj5,kotmai
กฎหมายปิดปาก,kot2 mAj5 pit2 pAk2,kotmaipitpak
กฎหมายระหว่างประเทศ,kot2 mAj5 ra?4 wAN2 pra-1 TEt3,kotmairawangprathet
กฎหมายสูงสุด,kot2 mAj5 sUN5 sut2,kotmaisungsut
กฎหมายอาญา,kot2 mAj5 ?A-1 jA-1,kotmaiaya
กฎหมายเหตุ,kot2 mAj5 hEt2,kotmaihet
กฎหมายแพ่ง,kot2 mAj5 PYN3,kotmaiphaeng
กฎหมู่,kot2 mU-2,kotmu
กฎอัยการศึก,kot2 ?aj1 ja-4 kAn1 svk2,kotaiyakansuek
กฎเกณฑ์,kot2 kEn1,kotken
กฎแห่งกรรม,kot2 hyN2 kam1,kothaengkam
กฐิน,ka-1 Tin5,kathin
กฐินทาน,ka-1 Tin5 TAn1,kathinthan
กณิกนันต์,ka-2 nik4 nan1,kaniknan
กดกริ่ง,kot2 kriN2,kotkring
กดขาว,kot2 KAw5,kotkhao
กดขี่,kot2 KI-2,kotkhi
กดขี่ข่มเหง,kot2 KI-2 Kom2 hEN5,kotkhikhomheng
กดจุด,kot2 cut2,kotchut
กดดัน,kot2 dan1,kotdan
กดน้ำ,kot2 nAm4,kotnam
กดปุ่ม,kot2 pum2,kotpum
กดราคา,kot2 rA-1 KA-1,kotrakha
กดหัว,kot2 hR-5,kothua
กดออด,kot2 ?Xt2,kotot
กตัญญุตา,ka-2 tan1 ju?4 tA-1,katanyuta
กตัญญู,ka-2 tan1 jU-1,katanyu
กตัญญูรู้คุณ,ka-2 tan1 jU-1 rU-4 Kun1,katanyurukhun
กติกา,ka-2 ti?2 kA-1,katika
กติกาสัญญา,ka-2 ti-1 kA-1 san5 jA-1,katikasanya
กตเวทิตา,ka-2 ta-2 wE-1 Ti?4 tA-1,katawethita
กตเวที,ka-2 ta-2 wE-1 TI-1,katawethi
กถา,ka-2 TA-5,katha
กถามุข,ka-2 TA-5 muk4,kathamuk
กนก,ka-2 nok2,kanok
กนิษฐภคินี,ka-2 nit4 Ta-2 Pa-4 Ki?4 nI-1,kanitthaphakhini
กนิษฐา,ka-2 nit4 TA-5,kanittha
กนิษฐ์,ka-2 nit4,kanit
กบฎ,ka-2 bot2,kabot
กบฏ,ka-2 bot2,kabot
กบดาน,kop2 dAn1,kopdan
กบดำกบแดง,kop2 dam1 kop2 dYN1,kopdamkopdaeng
กบาล,ka-2 bAn1,kaban
กบิลพัสดุ์,ka-1 bi?2 la?4 Pat4,kabilaphat
กบเหลาดินสอ,kop2 law5 din1 sX-5,koplaodinso
กบไสไม้,kop2 saj5 mAj4,kopsaimai
กมล,ka-2 mon1,kamon
กมลา,ka-2 ma-4 lA-1,kamala
กรกฎ,kX-1 ra-4 kot2,korakot
กรกฎาคม,ka-2 ra-4 ka-2 dA-1 Kom1,karakadakhom
กรงขัง,kroN1 KaN5,krongkhang
กรงทอง,kroN1 TXN1,krongthong
กรงเล็บ,kroN1 lep4,kronglep
กรณี,ka-2 ra-4 nI-1,karani
กรณีจำเป็น,ka-2 ra-4 nI-1 cam1 pen1,karanichampen
กรณีที่,ka-2 ra-4 nI-1 TI-3,karanithi
กรณีพิพาท,ka-2 ra-4 nI-1 Pi?4 PAt3,karaniphiphat
กรณีพิเศษ,ka-2 ra-4 nI-1 Pi?4 sEt2,karaniphiset
กรณียกิจ,ka-2 ra-4 nI-1 ja-4 kit2,karaniyakit
กรณีย์,ka-2 ra-4 nI-1,karani
กรณีศึกษา,ka-2 ra-4 nI-1 svk2 sA-5,karanisueksa
กรดกำมะถัน,krot2 kam1 ma?4 Tan5,krotkammathan
กรดน้ำส้ม,krot2 nam4 som3,krotnamsom
กรดอะมิโน,krot2 ?a?2 mi?4 nO-1,krotamino
กรดไขมัน,krot2 Kaj5 man1,krotkhaiman
กรบูร,ka-2 ra-4 bUn1,karabun
กรมการ,krom1 kAn1,kromkan
กรมการขนส่งทางบก,krom1 kAn1 Kon5 soN2 TAN1 bok2,kromkankhonsongthangbok
กรมการค้าต่างประเทศ,krom1 kAn1 KA-4 taN2 pra-1 TEt3,kromkankhatangprathet
กรมการค้าภายใน,krom1 kAn1 KA-4 PAj1 naj1,kromkankhaphainai
กรมการจังหวัด,krom1 kAn1 caN1 wat2,kromkanchangwat
กรมการจัดหางาน,krom1 kAn1 cat2 hA-5 NAn1,kromkanchathangan
กรมการบินพาณิชย์,krom1 kAn1 bin1 PA-1 nit4,kromkanbinphanit
กรมการปกครอง,krom1 kAn1 pok2 KrXN1,kromkanpokkhrong
กรมการพัฒนาชุมชน,krom1 kAn1 Pat4 Ta-4 nA-1 Cum1 Con1,kromkanphatthanachumchon
