thai,phone
ก็,kX-3
ก.,kX-1
ก.ค.,ka-2 ra-4 ka-2 dA-1 Kom1
ก.ต.,kX-1 TX-1
ก.ป.ส.,kX-1 pX-1 sX-5
ก.พ.,kX-1 PX-1
ก.พ.ด.,kX-1 PX-1 dX-1
ก.ม.,kX-1 mX-1
ก.ย,kan1 jA-1 jon1
ก.ย.,kan1 jA-1 jon1
ก.ร.,kX-1 rX-1
ก.ล.ต.,kX-1 lX-1 tX-1
ก.ว.,kX-1 wX-1
กก,kok2
ก๊ก,kok4
กก.,kiʔ2 lO-1 kram1
กกกอด,kok2 kXt2
กกจ.,kX-1 kX-1 cX-1
กกช้าง,kok2 CAŋ4
กกต.,kX-1 kX-1 tX-1
กกท.,kX-1 kX-1 TX-1
กกธูป,kX-1 TUp3
ก๊กมินตั๋ง,kok4 min1 taŋ5
กกเสา,kok2 saw5
กกหู,kok2 hU-5
กกุธภัณฑ์,ka-2 kut2 Ta-4 Pan1
กค,kok4
กคช.,kAn1 KE-1 haʔ2 hɛŋ2 CAt3
กง,koŋ1
ก่ง,koŋ2
ก้ง,koŋ3
ก๊ง,koŋ4
ก๋ง,koŋ5
กงกอน,koŋ1 kXn1
กงการ,koŋ1 kAn1
กงเกวียน,koŋ1 kwJn1
กงเกวียนกำเกวียน,koŋ1 kwJn1 kam1 kwJn1
กงโก้,koŋ1 kO-3
กงข้าง,koŋ1 kaŋ3
กงค้าง,koŋ1 kAŋ4
ก้งโค้ง,koŋ1 kOŋ4
กงจักร,koŋ1 cak2
กงฉาก,koŋ1 CAk2
ก้งฉ่าย,koŋ3 CAj2
ก๊งฉ่าย,koŋ4 CAj2
กงไฉ่,koŋ1 Caj2
กงเต็ก,koŋ1 tek2
กงเต๊ก,koŋ1 tek4
กงพัด,koŋ1 Pat4
กงล้อ,koŋ1 lX-4
กงวาน,
กงเวียน,
กงสี,koŋ1 sI-5
กงสุล,koŋ1 sun5
กงสุลใหญ่,
กช,
กชกร,
ก็ช่าง,kX-3 Caŋ3
กฎ,kot2
กฎกระทรวง,
กฎเกณฑ์,kot2 kEn1
กฎข้อบังคับ,kot2 KX-3 baŋ1 Kap4
กฎจราจร,kot2 ca-2 rA-1 cXn1
กฎทบวง,
กฎธรรมชาติ,kot2 Tam1 ma-4 CAt3
กฎธรรมดา,kot2 Tam1 ma-1 dA-1
กฎบัตร,kot2 bat2
กฎบัตรกฎหมาย,kot2 bat2 kot2 mAj5
กฎบัตรสหประชาชาติ,kot2 bat2 sa-1 ha-2 pra-1 CA-1 CAt3
กฎมณเฑียรบาล,
กฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์,
กฎมณเทียรบาล,
กฎมนเทียรบาล,kot2 mon1 TJn1 bAn1
กฎยุทธวินัย,
กฎระเบียบ,kot2 raʔ4 bJp2
กฎศีลธรรม,
กฎเสนาบดี,
กฎหมาย,kot2 mAj5
กฎหมายตราสามดวง,
กฎหมายปกครอง,
กฎหมายปิดปาก,kot2 mAj5 pit2 pAk2
กฎหมายพาณิชย์,
กฎหมายแพ่ง,kot2 mAj5 PYŋ3
กฎหมายมหาชน,
กฎหมายระหว่างประเทศ,kot2 mAj5 raʔ4 wAŋ2 pra-1 TEt3
กฎหมายรัฐธรรมนูญ,
กฎหมายแรงงาน,
กฎหมายสูงสุด,kot2 mAj5 sUŋ5 sut2
กฎหมายเหตุ,kot2 mAj5 hEt2
กฎหมายอาญา,kot2 mAj5 ʔA-1 jA-1
กฎหมายเอกชน,
กฎหมู่,kot2 mU-2
กฎแห่งกรรม,kot2 hɛŋ2 kam1
กฎอัยการศึก,kot2 ʔaj1 ja-4 kAn1 sɯk2
กฎุมพี,
กฏิ,
กฏุก,
กฏุกผล,
กฐิน,ka-1 Tin5
กฐินทาน,ka-1 Tin5 TAn1
กฐินัตถารกรรม,
กณิกนันต์,ka-2 nik4 nan1
กณิการ์,
กด,kot2
กดกริ่ง,kot2 kriŋ2
กดขาว,kot2 KAw5
กดขี่,kot2 KI-2
กดขี่ข่มเหง,
กดคอ,
กดจุด,kot2 cut2
กดดัน,kot2 dan1
กดน้ำ,kot2 nAm4
กดปุ่ม,kot2 pum2
กดราคา,kot2 rA-1 KA-1
กดหัว,kot2 hV-5
กดเหลือง,
กดออด,kot2 ʔXt2
ก็ดี,kX-3 dI-1
ก็ได้,kX-3 daj3
กตเวทิตา,ka-2 ta-2 wE-1 Tiʔ4 tA-1
กตเวที,ka-2 ta-2 wE-1 TI-1
ก็ต่อเมื่อ,kX-3 tX-2 mR-3
กตัญชลี,
กตัญญุตา,ka-2 tan1 juʔ4 tA-1
กตัญญู,ka-2 tan1 jU-1
กตัญญูรู้คุณ,ka-2 tan1 jU-1 rU-4 Kun1
กตาธิการ,
กตาภินิหาร,
ก็ตาม,kX-3 tAm1
ก็ตามที,kX-3 tAm1 TI-1
กติกา,ka-2 tiʔ2 kA-1
กติกาสัญญา,ka-2 ti-1 kA-1 san5 jA-1
กถา,ka-2 TA-5
กถามรรค,
กถามรรคเทศนา,
กถามุข,ka-2 TA-5 muk4
กถิกาจารย์,
กทช.,kX-1 TX-1 CX-1
กทท.,kX-1 TX-1 TX-1
กทธ.,kX-1 TX-1 TX-1
กทพ.,kX-1 TX-1 PX-1
กทภ.,kX-1 TX-1 PX-1
กทม,kX-1 TX-1 mX-1
กทม.,kX-1 TX-1 mX-1
กทรรป,
กทลี,
กน,kon1
ก่น,kon2
ก้น,kon3
กน.,kX-1 nX-1
กนก,ka-2 nok2
ก้นกบ,kon3 kop2
ก้นกรอง,kon3 krXŋ1
ก้นกระดก,kon3 kra-1 dok2
ก้นก๊อก,
ก้นกุฏิ,kon3 kut2 tiʔ2
กนข.,
ก้นขบ,
ก้นครัว,kon3 KrV-1
ก่นโคตร,kon2 KOt3
กนง.,
ก้นตะกรน,kon3 taʔ2 kron1
ก้นตะหิน,
ก่นแต่,
ก้นถุง,kon3 Tuŋ5
ก้นบึ้ง,kon3 bɯŋ3
ก้นบุหรี่,kon3 buʔ2 rI-2
ก้นปล่อง,
ก้นปอด,kon3 pXt2
ก้นปิด,
ก้นปูด,
ก้นแมลงสาบ,
ก้นย้อย,kon3 jXj4
ก้นยา,
ก้นร้อน,kon3 rXn4
ก่นสร้าง,kon2 sAŋ3
ก้นหนัก,kon3 nak2
ก้นหย่อน,
ก้นหอย,kon3 hXj5
กนอ.,
ก้นอ้อย,
กนิษฐ์,ka-2 nit4
กนิษฐภคินี,ka-2 nit4 Ta-2 Pa-4 Kiʔ4 nI-1
กนิษฐภาดา,
กนิษฐา,ka-2 nit4 TA-5
กบ,kop2
กบข.,
กบง.,kX-1 bX-1 ŋX-1
กบเจา,
กบแจะ,
กบฎ,ka-2 bot2
กบฏ,ka-2 bot2
กบดาน,kop2 dAn1
กบดำกบแดง,kop2 dam1 kop2 dYŋ1
กบเต้น,
กบเต้นกลางสระบัว,
กบเต้นต่อยหอย,
กบเต้นสลักเพชร,
กบเต้นสามตอน,
กบทู,
กบทูด,
กบนา,
กบในกะลาครอบ,
กบบัว,
กบเลือกนาย,
กบว.,
กบไสไม้,kop2 saj5 mAj4
กบเหลาดินสอ,kop2 law5 din1 sX-5
กบาล,ka-2 bAn1
กบินทร์,
กบินทร์บุรี,
กบิล,
กบิลพัสดุ์,ka-1 biʔ2 laʔ4 Pat4
กบี่,
กบี่ธุช,
กบูร,
กเบนทร์,
กโบร,
กโบล,
กป.อพช.,
กปจ.,
กปช.,kX-1 pX-1 CX-1
กปณ,
กปณก,
กปณา,
กปน.,
กปภ.,kX-1 pX-1 PX-1
กปร.,
กปส.,kX-1 pX-1 sX-5
กปอ.,
กปิ,
กปิตัน,
กพค.,
กพช.,kX-1 PX-1 CX-1
กพร.,
กพอ.,
ก็เพราะว่า,
กฟน.,kX-1 fX-1 nX-1
กฟผ.,kX-1 fX-1 PX-5
กฟภ.,kX-1 fX-1 PX-1
กม,kom1
ก้ม,kom3
ก้ม ๆ เงย ๆ,
กม.,kX-1 mX-1
กมณฑลาภิเษก,
กมณฑโลทก,
ก้มตัว,kom3 tV-1
กมล,ka-2 mon1
ก้มลง,kom3 loŋ1
กมลา,ka-2 ma-4 lA-1
กมลาศ,
กมลาสน์,
กมเลศ,
ก้มหน้า,kom3 nA-3
ก้มหน้าก้มตา,kom3 nA-3 kom3 tA-1
