ก.,kX-1
ก.ค.,ka-2 ra-4 ka-2 dA-1 Kom1
ก.ต.,kX-1 TX-1
ก.ป.ส.,kX-1 pX-1 sX-5
ก.พ.,kum1 PA-1 Pan1
ก.พ.ด.,kX-1 PX-1 dX-1
ก.ม.,kX-1 mX-1
ก.ย,kan1 jA-1 jon1
ก.ย.,kan1 jA-1 jon1
ก.ร.,kX-1 rX-1
ก.ล.ต.,kX-1 lX-1 tX-1
ก.ว.,kX-1 wX-1
กก,kok2
กก.,kX-1 kX-1
กกกอด,kok2 kXt2
กกจ.,kX-1 kX-1 cX-1
กกช้าง,kok2 CAN4
กกต.,kX-1 kX-1 tX-1
กกท.,kX-1 kX-1 TX-1
กกธูป,kX-1 TUp3
กกหู,kok2 hU-5
กกุธภัณฑ์,ka-2 kut2 Ta-4 Pan1
กกเสา,kok2 saw5
กค,kok4
กคช.,kAn1 KE-1 ha?2 hyN2 CAt3
กง,koN1
กงกอน,koN1 kXn1
กงการ,koN1 kAn1
กงข้าง,koN1 kaN3
กงค้าง,koN1 kAN4
กงจักร,koN1 cak2
กงฉาก,koN1 CAk2
กงพัด,koN1 Pat4
กงล้อ,koN1 lX-4
กงวาน,
กงสี,koN1 sI-5
กงสุล,koN1 sun5
กงสุลใหญ่,koN1 sun5 jaj2
กงเกวียน,koN1 kwJn1
กงเกวียนกำเกวียน,koN1 kwJn1 kam1 kwJn1
กงเต็ก,koN1 tek2
กงเต๊ก,koN1 tek4
กงเวียน,
กงโก้,koN1 kO-3
กงไฉ่,koN1 Caj2
กช,
กชกร,
กฎ,kot2
กฎกระทรวง,
กฎข้อบังคับ,kot2 KX-3 baN1 Kap4
กฎจราจร,kot2 ca-2 rA-1 cXn1
กฎทบวง,
กฎธรรมชาติ,kot2 Tam1 ma-4 CAt3
กฎธรรมดา,kot2 Tam1 ma-1 dA-1
กฎบัตร,kot2 bat2
กฎบัตรกฎหมาย,kot2 bat2 kot2 mAj5
กฎบัตรสหประชาชาติ,kot2 bat2 sa-1 ha-2 pra-1 CA-1 CAt3
กฎมณเฑียรบาล,kot2 mon1 TJn1 bAn1
กฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์,
กฎมณเทียรบาล,kot2 mon1 TJn1 bAn1
กฎมนเทียรบาล,kot2 mon1 TJn1 bAn1
กฎยุทธวินัย,
กฎระเบียบ,kot2 ra?4 bJp2
กฎศีลธรรม,
กฎหมาย,kot2 mAj5
กฎหมายตราสามดวง,
กฎหมายปกครอง,
กฎหมายปิดปาก,kot2 mAj5 pit2 pAk2
กฎหมายพาณิชย์,
กฎหมายมหาชน,
กฎหมายระหว่างประเทศ,kot2 mAj5 ra?4 wAN2 pra-1 TEt3
กฎหมายรัฐธรรมนูญ,
กฎหมายสูงสุด,kot2 mAj5 sUN5 sut2
กฎหมายอาญา,kot2 mAj5 ?A-1 jA-1
กฎหมายเหตุ,kot2 mAj5 hEt2
กฎหมายเอกชน,
กฎหมายแพ่ง,kot2 mAj5 PYN3
กฎหมายแรงงาน,
กฎหมู่,kot2 mU-2
กฎอัยการศึก,kot2 ?aj1 ja-4 kAn1 svk2
กฎุมพี,
กฎเกณฑ์,kot2 kEn1
กฎเสนาบดี,
กฎแห่งกรรม,kot2 hyN2 kam1
กฏิ,
กฏุก,
กฏุกผล,
กฐิน,ka-1 Tin5
กฐินทาน,ka-1 Tin5 TAn1
กฐินัตถารกรรม,
กณิกนันต์,ka-2 nik4 nan1
กณิการ์,
กด,kot2
กดกริ่ง,kot2 kriN2
กดขาว,kot2 KAw5
กดขี่,kot2 KI-2
กดขี่ข่มเหง,kot2 KI-2 Kom2 hEN5
กดคอ,
กดจุด,kot2 cut2
กดดัน,kot2 dan1
กดน้ำ,kot2 nAm4
กดปุ่ม,kot2 pum2
กดราคา,kot2 rA-1 KA-1
กดหัว,kot2 hR-5
กดออด,kot2 ?Xt2
กดเหลือง,
กตัญชลี,
กตัญญุตา,ka-2 tan1 ju?4 tA-1
กตัญญู,ka-2 tan1 jU-1
กตัญญูรู้คุณ,ka-2 tan1 jU-1 rU-4 Kun1
กตาธิการ,
กตาภินิหาร,
กติกา,ka-2 ti?2 kA-1
กติกาสัญญา,ka-2 ti-1 kA-1 san5 jA-1
กตเวทิตา,ka-2 ta-2 wE-1 Ti?4 tA-1
กตเวที,ka-2 ta-2 wE-1 TI-1
กถา,ka-2 TA-5
กถามรรค,
กถามรรคเทศนา,
กถามุข,ka-2 TA-5 muk4
กถิกาจารย์,
กทช.,kX-1 TX-1 CX-1
กทท.,kX-1 TX-1 TX-1
กทธ.,kX-1 TX-1 TX-1
กทพ.,kX-1 TX-1 PX-1
กทภ.,kX-1 TX-1 PX-1
กทม,kX-1 TX-1 mX-1
กทม.,kX-1 TX-1 mX-1
กทรรป,
กทลี,
กน,kon1
กน.,kX-1 nX-1
กนก,ka-2 nok2
กนข.,
กนง.,
กนอ.,
กนิษฐภคินี,ka-2 nit4 Ta-2 Pa-4 Ki?4 nI-1
กนิษฐภาดา,
กนิษฐา,ka-2 nit4 TA-5
กนิษฐ์,ka-2 nit4
กบ,kop2
กบข.,
กบง.,kX-1 bX-1 NX-1
กบฎ,ka-2 bot2
กบฏ,ka-2 bot2
กบดาน,kop2 dAn1
กบดำกบแดง,kop2 dam1 kop2 dYN1
กบทู,
กบทูด,
กบนา,
กบบัว,
กบว.,
กบาล,ka-2 bAn1
กบินทร์,
กบินทร์บุรี,
กบิล,
กบิลพัสดุ์,ka-1 bi?2 la?4 Pat4
กบี่,
กบี่ธุช,
กบูร,
กบเจา,
กบเต้น,
กบเต้นกลางสระบัว,
กบเต้นต่อยหอย,
กบเต้นสลักเพชร,
กบเต้นสามตอน,
กบเลือกนาย,
กบเหลาดินสอ,kop2 law5 din1 sX-5
กบแจะ,
กบในกะลาครอบ,
กบไสไม้,kop2 saj5 mAj4
กป.อพช.,
กปจ.,
กปช.,kX-1 pX-1 CX-1
กปณ,
กปณก,
กปณา,
กปน.,
กปภ.,kX-1 pX-1 PX-1
กปร.,
กปส.,kX-1 pX-1 sX-5
กปอ.,
กปิ,
กปิตัน,
กพค.,
กพช.,kX-1 PX-1 CX-1
กพร.,
กพอ.,
กฟน.,kX-1 fX-1 nX-1
กฟผ.,kX-1 fX-1 PX-5
กฟภ.,kX-1 fX-1 PX-1
กม,kom1
กม.,kX-1 mX-1
กมณฑลาภิเษก,
กมณฑโลทก,
กมล,ka-2 mon1
กมลา,ka-2 ma-4 lA-1
กมลาศ,
กมลาสน์,
กมัณฑลุ,
กมุท,
กมเลศ,
กยต.,
กร,kXn1
กรก,
กรกช,
กรกฎ,kX-1 ra-4 kot2
กรกฎา,
กรกฎาคม,ka-2 ra-4 ka-2 dA-1 Kom1
กรกัติ,
กรง,kroN1
กรงขัง,kroN1 KaN5
กรงทอง,kroN1 TXN1
กรงนก,
กรงปินัง,
กรงเล็บ,kroN1 lep4
กรชกาย,
กรณฑ์,kron1
กรณิการ์,
กรณี,ka-2 ra-4 nI-1
กรณีจำเป็น,ka-2 ra-4 nI-1 cam1 pen1
กรณีที่,ka-2 ra-4 nI-1 TI-3
กรณีพิพาท,ka-2 ra-4 nI-1 Pi?4 PAt3
กรณีพิเศษ,ka-2 ra-4 nI-1 Pi?4 sEt2
กรณียกิจ,ka-2 ra-4 nI-1 ja-4 kit2
กรณียะ,
กรณีย์,ka-2 ra-4 nI-1
กรณีศึกษา,ka-2 ra-4 nI-1 svk2 sA-5
กรณีเร่งด่วน,
กรด,krot2
กรดกำมะถัน,krot2 kam1 ma?4 Tan5
กรดน้ำส้ม,krot2 nam4 som3
กรดฟอสฟอริก,
กรดมะนาว,
กรดอะมิโน,krot2 ?a?2 mi?4 nO-1
กรดไขมัน,krot2 Kaj5 man1
กรน,kron1
กรนทา,
กรนนเช้า,
กรบ,
กรบูร,ka-2 ra-4 bUn1
กรป.กลาง,
กรพินธุ์,
กรภุม,
กรม,krom1
กรมกรอม,
กรมการ,krom1 kAn1
กรมการขนส่งทางบก,krom1 kAn1 Kon5 soN2 TAN1 bok2
กรมการค้าต่างประเทศ,krom1 kAn1 KA-4 taN2 pra-1 TEt3
กรมการค้าภายใน,krom1 kAn1 KA-4 PAj1 naj1
กรมการจังหวัด,krom1 kAn1 caN1 wat2
กรมการจัดหางาน,krom1 kAn1 cat2 hA-5 NAn1
กรมการนอกทำเนียบ,
กรมการบินพาณิชย์,krom1 kAn1 bin1 PA-1 nit4
กรมการปกครอง,krom1 kAn1 pok2 KrXN1
กรมการประกันภัย,
กรมการผังเมือง,
กรมการฝึกหัดครู,
กรมการพัฒนาชุมชน,krom1 kAn1 Pat4 Ta-4 nA-1 Cum1 Con1
กรมการพิเศษ,
กรมการศาสนา,
กรมการศึกษานอกโรงเรียน,
กรมการอำเภอ,krom1 kAn1 ?am1 PZ-1
กรมการแพทย์,krom1 kAn1 PYt3
กรมการในทำเนียบ,
กรมควบคุมมลพิษ,
กรมควบคุมโรคติดต่อ,
กรมคุมประพฤติ,
กรมชล,
กรมชลประทาน,krom1 Con1 la-4 pra-1 TAn1
กรมตรวจบัญชีสหกรณ์,
กรมตำรวจ,krom1 tam1 rRt2
กรมทรัพยากรธรณี,
กรมทรัพย์สินทางปัญญา,krom1 sap4 sin5 TAN1 pan1 jA-1
กรมทหารราบ,
กรมทะเบียนการค้า,
กรมทางหลวง,krom1 TAN1 lRN5
กรมที่ดิน,krom1 TI-3 din1
กรมท่า,krom1 ma-4 TA-3
กรมท่ากลาง,
กรมท่าขวา,
กรมท่าซ้าย,
กรมธนารักษ์,krom1 Ta-4 nA-1 rak4
กรมธรรม์,krom1 ma-4 Tan1
กรมธรรม์ประกันภัย,krom1 ma-4 Tan1 pra-1 kan1 Paj1
กรมนา,krom1 nA-1
กรมบังคับคดี,
กรมบัญชีกลาง,krom1 ban1 CI-1 klAN1
กรมประชาสงเคราะห์,krom1 pra-1 CA-1 soN5 Krx?4
กรมประชาสัมพันธ์,krom1 pra-1 CA-1 sam5 Pan1
กรมประมง,krom1 pra-1 moN1
กรมปศุสัตว์,krom1 pa-2 su?2 sat2
กรมป่าไม้,krom1 pA-2 mAj4
กรมพระคลัง,
